model_id,model_78_name,billing_type_78,input_78_global,output_78_global,best_78_group,best_78_multiplier,best_78_effective_input,best_78_effective_output,best_78_effective_total,geekai_match,geekai_display_name,geekai_context,geekai_best_tier,geekai_best_input,geekai_best_output,geekai_best_total,recommended_vendor,cheaper_by_total,ratio_78_vs_geekai,comparison_note
gpt-3.5-turbo-1106,gpt-3.5-turbo-1106,按量计费,18.75,37.5,vip-1-codex,0.25,4.6875,9.375,14.0625,no,,,,,,,no_exact_match,,,
gpt-3.5-turbo-16k,gpt-3.5-turbo-16k,按量计费,18.75,37.5,vip-1-codex,0.25,4.6875,9.375,14.0625,no,,,,,,,no_exact_match,,,
gpt-4,gpt-4,按量计费,18.75,37.5,vip-1-codex,0.25,4.6875,9.375,14.0625,yes,GPT-4,8K,low,22.5,45,67.5,78,53.4375,0.208333,78 lower on both input and output
gpt-4-turbo,gpt-4-turbo,按量计费,18.75,56.25,vip-1-codex,0.25,4.6875,14.0625,18.75,yes,GPT-4 Turbo,128K,low,7.5,22.5,30,78,11.25,0.625,78 lower on both input and output
gpt-4-turbo-preview,gpt-4-turbo-preview,按量计费,18.75,56.25,vip-1-codex,0.25,4.6875,14.0625,18.75,no,,,,,,,no_exact_match,,,
gpt-4.1,gpt-4.1,按量计费,18.75,37.5,vip-1-codex,0.25,4.6875,9.375,14.0625,yes,GPT-4.1,1024K,low,1.5,6,7.5,GeekAI,6.5625,1.875,GeekAI lower on both input and output
gpt-4.1-mini,gpt-4.1-mini,按量计费,18.75,37.5,vip-1-codex,0.25,4.6875,9.375,14.0625,yes,GPT-4.1 mini,1024K,low,0.3,1.2,1.5,GeekAI,12.5625,9.375,GeekAI lower on both input and output
gpt-4.1-nano,gpt-4.1-nano,按量计费,18.75,37.5,vip-1-codex,0.25,4.6875,9.375,14.0625,yes,GPT-4.1 nano,1024K,low,0.075,0.3,0.375,GeekAI,13.6875,37.5,GeekAI lower on both input and output
gpt-4.5-preview,gpt-4.5-preview,按量计费,18.75,37.5,vip-1-codex,0.25,4.6875,9.375,14.0625,yes,GPT-4.5 Preview,128K,low,56.25,112.5,168.75,78,154.6875,0.083333,78 lower on both input and output
gpt-4o,gpt-4o,按量计费,18.75,75,vip-1-codex,0.25,4.6875,18.75,23.4375,yes,GPT-4o,128K,low,1.875,7.5,9.375,GeekAI,14.0625,2.5,GeekAI lower on both input and output
gpt-4o-2024-08-06,gpt-4o-2024-08-06,按量计费,18.75,75,vip-1-codex,0.25,4.6875,18.75,23.4375,no,,,,,,,no_exact_match,,,
gpt-4o-2024-11-20,gpt-4o-2024-11-20,按量计费,18.75,75,vip-1-codex,0.25,4.6875,18.75,23.4375,no,,,,,,,no_exact_match,,,
gpt-4o-audio-preview,gpt-4o-audio-preview,按量计费,18.75,75,vip-1-codex,0.25,4.6875,18.75,23.4375,yes,GPT-4o Audio,128K,low,30,60,90,78,66.5625,0.260417,78 lower on both input and output
gpt-4o-mini,gpt-4o-mini,按量计费,18.75,75,vip-1-codex,0.25,4.6875,18.75,23.4375,yes,GPT-4o mini,128K,low,0.113,0.45,0.563,GeekAI,22.8745,41.629663,GeekAI lower on both input and output
gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,按量计费,18.75,75,vip-1-codex,0.25,4.6875,18.75,23.4375,no,,,,,,,no_exact_match,,,
gpt-4o-realtime-preview,gpt-4o-realtime-preview,按量计费,18.75,75,vip-1-codex,0.25,4.6875,18.75,23.4375,no,,,,,,,no_exact_match,,,
gpt-5,gpt-5,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,yes,GPT-5,400K,low,0.938,7.5,8.438,GeekAI,33.7495,4.999704,GeekAI lower on both input and output
gpt-5-2025-08-07,gpt-5-2025-08-07,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5-chat,gpt-5-chat,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,yes,GPT-5 Chat,128K,low,0.938,7.5,8.438,GeekAI,33.7495,4.999704,GeekAI lower on both input and output
gpt-5-chat-latest,gpt-5-chat-latest,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5-codex,gpt-5-codex,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,yes,GPT-5 Codex,400K,low,0.938,7.5,8.438,GeekAI,33.7495,4.999704,GeekAI lower on both input and output
gpt-5-codex-high,gpt-5-codex-high,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
gpt-5-codex-low,gpt-5-codex-low,按量计费,18.75,150,vip-1-codex,0.25,4.6875,37.5,42.1875,no,,,,,,,no_exact_match,,,
