group_name,group_multiplier,group_multiplier_raw,group_disabled,model_id,display_name,billing_type,base_input,base_output,effective_input,effective_output,raw_price_lines,page_number
vip-1-codex,0.25,x0.25,False,gpt-5.4,gpt-5.4,按量计费,0.625,5,0.15625,1.25,输入 ¥0.6250/M || 输出 ¥5.0000/M,3
vip-1-codex,0.25,x0.25,False,gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,按量计费,18.75,150,4.6875,37.5,输入 ¥18.7500/M || 输出 ¥150.0000/M,4
vip-1-codex,0.25,x0.25,False,gpt-5.4-mini,gpt-5.4-mini,按量计费,18.75,150,4.6875,37.5,输入 ¥18.7500/M || 输出 ¥150.0000/M,4
vip-1-codex,0.25,x0.25,False,gpt-5.4-nano,gpt-5.4-nano,按量计费,18.75,150,4.6875,37.5,输入 ¥18.7500/M || 输出 ¥150.0000/M,4
vip-1-codex,0.25,x0.25,False,gpt-5.4-openai-compact,gpt-5.4-openai-compact,按量计费,18.75,150,4.6875,37.5,输入 ¥18.7500/M || 输出 ¥150.0000/M,4
vip-1-codex,0.25,x0.25,False,o1,o1,按量计费,18.75,75,4.6875,18.75,输入 ¥18.7500/M || 输出 ¥75.0000/M,4
vip-1-codex,0.25,x0.25,False,o1-mini,o1-mini,按量计费,18.75,75,4.6875,18.75,输入 ¥18.7500/M || 输出 ¥75.0000/M,4
vip-1-codex,0.25,x0.25,False,o1-preview,o1-preview,按量计费,18.75,75,4.6875,18.75,输入 ¥18.7500/M || 输出 ¥75.0000/M,4
vip-1-codex,0.25,x0.25,False,o1-pro,o1-pro,按量计费,18.75,75,4.6875,18.75,输入 ¥18.7500/M || 输出 ¥75.0000/M,4
vip-1-codex,0.25,x0.25,False,o3,o3,按量计费,18.75,75,4.6875,18.75,输入 ¥18.7500/M || 输出 ¥75.0000/M,4
vip-1-codex,0.25,x0.25,False,o3-mini,o3-mini,按量计费,18.75,75,4.6875,18.75,输入 ¥18.7500/M || 输出 ¥75.0000/M,4
vip-1-codex,0.25,x0.25,False,o3-pro,o3-pro,按量计费,18.75,75,4.6875,18.75,输入 ¥18.7500/M || 输出 ¥75.0000/M,4
vip-1-codex,0.25,x0.25,False,o4-mini,O4,按量计费,18.75,18.75,4.6875,4.6875,输入 ¥18.7500/M || 输出 ¥18.7500/M,4
vip-1-codex外接,0.25,x0.25,False,chatgpt-4o-latest,chatgpt-4o-latest,按量计费,18.75,56.25,4.6875,14.0625,输入 ¥18.7500/M || 输出 ¥56.2500/M,3
vip-1-codex外接,0.25,x0.25,False,gpt-3.5-turbo,gpt-3.5-turbo,按量计费,18.75,37.5,4.6875,9.375,输入 ¥18.7500/M || 输出 ¥37.5000/M,1
vip-1-codex外接,0.25,x0.25,False,gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,按量计费,18.75,37.5,4.6875,9.375,输入 ¥18.7500/M || 输出 ¥37.5000/M,1
