group_name,group_multiplier,group_disabled,model_id,price_kind,charge_type,unit,label,raw_line,base_amount_1,base_amount_2,effective_amount_1,effective_amount_2
new-cc,1.5,False,claude-haiku-4-5,输出,paid,M,,输出 ¥300.0000/M,300,,450,
new-cc,1.5,False,claude-haiku-4-5-20251001,输入,paid,M,,输入 ¥0.4900/M,0.49,,0.735,
new-cc,1.5,False,claude-haiku-4-5-20251001,输出,paid,M,,输出 ¥2.4500/M,2.45,,3.675,
new-cc,1.5,False,claude-opus-4-5-20251101,输入,paid,M,,输入 ¥2.4500/M,2.45,,3.675,
new-cc,1.5,False,claude-opus-4-5-20251101,输出,paid,M,,输出 ¥12.2500/M,12.25,,18.375,
new-cc,1.5,False,claude-opus-4-6,输入,paid,M,,输入 ¥2.4500/M,2.45,,3.675,
new-cc,1.5,False,claude-opus-4-6,输出,paid,M,,输出 ¥12.2500/M,12.25,,18.375,
new-cc,1.5,False,claude-opus-4-7,输入,paid,M,,输入 ¥9.8000/M,9.8,,14.7,
new-cc,1.5,False,claude-opus-4-7,输出,paid,M,,输出 ¥49.0000/M,49,,73.5,
new-cc,1.5,False,claude-sonnet-4-5-20250929,输入,paid,M,,输入 ¥1.7500/M,1.75,,2.625,
new-cc,1.5,False,claude-sonnet-4-5-20250929,输出,paid,M,,输出 ¥8.7500/M,8.75,,13.125,
new-cc,1.5,False,claude-sonnet-4-6,输入,paid,M,,输入 ¥1.4700/M,1.47,,2.205,
new-cc,1.5,False,claude-sonnet-4-6,输出,paid,M,,输出 ¥7.3500/M,7.35,,11.025,
newcc-优惠版,1.4,False,claude-haiku-4-5-20251001,输入,paid,M,,输入 ¥0.4900/M,0.49,,0.686,
newcc-优惠版,1.4,False,claude-haiku-4-5-20251001,输出,paid,M,,输出 ¥2.4500/M,2.45,,3.43,
newcc-优惠版,1.4,False,claude-opus-4-5-20251101,输入,paid,M,,输入 ¥2.4500/M,2.45,,3.43,
newcc-优惠版,1.4,False,claude-opus-4-5-20251101,输出,paid,M,,输出 ¥12.2500/M,12.25,,17.15,
newcc-优惠版,1.4,False,claude-opus-4-6,输入,paid,M,,输入 ¥2.4500/M,2.45,,3.43,
newcc-优惠版,1.4,False,claude-opus-4-6,输出,paid,M,,输出 ¥12.2500/M,12.25,,17.15,
newcc-优惠版,1.4,False,claude-opus-4-7,输入,paid,M,,输入 ¥9.8000/M,9.8,,13.72,
newcc-优惠版,1.4,False,claude-opus-4-7,输出,paid,M,,输出 ¥49.0000/M,49,,68.6,
newcc-优惠版,1.4,False,claude-sonnet-4-5-20250929,输入,paid,M,,输入 ¥1.7500/M,1.75,,2.45,
newcc-优惠版,1.4,False,claude-sonnet-4-5-20250929,输出,paid,M,,输出 ¥8.7500/M,8.75,,12.25,
newcc-优惠版,1.4,False,claude-sonnet-4-6,输入,paid,M,,输入 ¥1.4700/M,1.47,,2.058,
newcc-优惠版,1.4,False,claude-sonnet-4-6,输出,paid,M,,输出 ¥7.3500/M,7.35,,10.29,
vip-1-codex,0.25,False,chatgpt-4o-latest,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,chatgpt-4o-latest,输出,paid,M,,输出 ¥56.2500/M,56.25,,14.0625,
vip-1-codex,0.25,False,gpt-3.5-turbo,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-3.5-turbo,输出,paid,M,,输出 ¥37.5000/M,37.5,,9.375,
vip-1-codex,0.25,False,gpt-3.5-turbo-0125,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-3.5-turbo-0125,输出,paid,M,,输出 ¥37.5000/M,37.5,,9.375,
vip-1-codex,0.25,False,gpt-3.5-turbo-1106,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-3.5-turbo-1106,输出,paid,M,,输出 ¥37.5000/M,37.5,,9.375,
vip-1-codex,0.25,False,gpt-3.5-turbo-16k,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-3.5-turbo-16k,输出,paid,M,,输出 ¥37.5000/M,37.5,,9.375,
vip-1-codex,0.25,False,gpt-4,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-4,输出,paid,M,,输出 ¥37.5000/M,37.5,,9.375,
vip-1-codex,0.25,False,gpt-4-turbo,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-4-turbo,输出,paid,M,,输出 ¥56.2500/M,56.25,,14.0625,
vip-1-codex,0.25,False,gpt-4-turbo-preview,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-4-turbo-preview,输出,paid,M,,输出 ¥56.2500/M,56.25,,14.0625,
vip-1-codex,0.25,False,gpt-4.1,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-4.1,输出,paid,M,,输出 ¥37.5000/M,37.5,,9.375,
vip-1-codex,0.25,False,gpt-4.1-mini,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-4.1-mini,输出,paid,M,,输出 ¥37.5000/M,37.5,,9.375,
vip-1-codex,0.25,False,gpt-4.1-nano,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-4.1-nano,输出,paid,M,,输出 ¥37.5000/M,37.5,,9.375,
vip-1-codex,0.25,False,gpt-4.5-preview,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-4.5-preview,输出,paid,M,,输出 ¥37.5000/M,37.5,,9.375,
vip-1-codex,0.25,False,gpt-4o,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-4o,输出,paid,M,,输出 ¥75.0000/M,75,,18.75,
vip-1-codex,0.25,False,gpt-4o-2024-08-06,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-4o-2024-08-06,输出,paid,M,,输出 ¥75.0000/M,75,,18.75,
vip-1-codex,0.25,False,gpt-4o-2024-11-20,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-4o-2024-11-20,输出,paid,M,,输出 ¥75.0000/M,75,,18.75,
vip-1-codex,0.25,False,gpt-4o-audio-preview,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-4o-audio-preview,输出,paid,M,,输出 ¥75.0000/M,75,,18.75,
vip-1-codex,0.25,False,gpt-4o-mini,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-4o-mini,输出,paid,M,,输出 ¥75.0000/M,75,,18.75,
vip-1-codex,0.25,False,gpt-4o-mini-2024-07-18,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-4o-mini-2024-07-18,输出,paid,M,,输出 ¥75.0000/M,75,,18.75,
vip-1-codex,0.25,False,gpt-4o-realtime-preview,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-4o-realtime-preview,输出,paid,M,,输出 ¥75.0000/M,75,,18.75,
vip-1-codex,0.25,False,gpt-5,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
